HHLDNO,CERTMTH,RAWBEN,EXPEDSER,FSMEDEXP,FSDEPDED,RAWNET,SUA1,SUA2,FSCSEXP,RENT,SHELDED,ALLADJ,AMTADJ,REP_SYS,CTPRHH,FSCSDED,RAWGROSS,RAWERND,FSMEDDED,UTIL,FSNDISCA,FSNDIS,LASTCERT,BENFIX,FSUSIZE,BENMAX,MINIMUM_BEN,FSNKID,FSERNDED,FSSLTDED,FSSTDDED,FSTOTDED,SHELCAP,NONCIT_HEAD,COMPOSITION,MED_DED_DEMO,ERN_INC_DED_PCT,FSSLTEXP,NETSCRN,GROSSCRN,,,,,FSOTHERN,FSSLFEMP,FSWAGES,FSCSUPRT,FSTANF,FSCONT,FSDEEM,FSOTHGOV,FSOTHUN,FSSOCSEC,FSEDLOAN,FSGA,FSUNEMP,FSVET,FSWCOMP,FSDIVER,FSSSI,FSWGESUP,FSENERGY,FSEITC,FSFOSTER,TANF_IND,FSEARN,FSUNEARN,FSGRINC,EXCL_FSCSDED,TPOV,WRK_POOR,FSNETINC,FSBEN,FSMINBEN,SSI_CAP,FSSTDDE2,FSERNDE2,FSDEPDE2,FSMEDDE2,FSSLTDE2,FSTOTDE2,PURE_PA,ASSLIM,FSASTEST,FSGRTEST,FSNETEST,FSBENSUPP,SUPP_BEN,FSNONCIT,FSDIS,FSELDER,FSKID,HH_Member__AGE1,HH_SEX,HH_RACE,HH_FSAFIL,HH_CTZN,HH_YRSED,HH_EMPRG,HH_EMPSTA,HH_EMPSTB,HH_WAGES,HH_SLFEMP,HH_EITC,HH_OTHERN,HH_SOCSEC,HH_VET,HH_SSI,HH_UNEMP,HH_WCOMP,HH_OTHGOV,HH_WRKREG,HH_ABWDST,HH_NDISCA,HH_WORK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,36,241,Entitled to expedited service and received benefits within Federal time frame,0,0,0,Uses higher standard and does not receive LIHEAA assistance,Not prorated,0,843,1221,No adjustment,0,Other,1,0,1280,0,0,921,0,0,7,281,1,281,23,0,0,1221,193,1414,624,Head of unit is a citizen,No children,0,0.1999999285,1764,1133,1473,Sunny Laundry Services,965 Court St,Flint,48507,0,0,0,0,0,0,0,0,365,915,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,1280,0,113,0,0,281,0,Not in SSI-CAP,156,0,0,0,1087,1280,0,4250,1,1,1,95,1,0,0,1,0,71,Female,Black or African American,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,High school graduate or GED,Not participating in E&T,Unemployed and looking for work,Not employed,0,0,0,0,915,0,0,0,0,0,"Federal exemption, other",Not an able-bodied adult without dependents (ABAWD),Not in universe (AGEI not within the age range subject to time limits),0,7604 Court St,Dearborn,MI,49551,Nevaeh,Ortiz,,,,,,,,,,,,,,,,,,,,,,,,,,
109,36,108,Not entitled to expedited service,0,0,610,Uses higher standard based on LIHEAA assistance,Not prorated,0,441,705,No adjustment,0,Other,1,0,1508,0,0,921,0,1,6,97,1,281,23,0,0,705,193,898,624,Head of unit is a citizen,No children,0,0.1999999285,1362,1133,1473,CityEats Food Truck Co,176 Beach St,Flint,48508,0,0,0,0,0,0,0,0,0,1508,0,0,0,0,0,0,0,0,0,0,0,0,0,1508,1508,0,133,0,610,98,0,Not in SSI-CAP,290,0,0,0,705,898,0,4250,1,1,1,183,1,0,1,0,0,49,Female,Black or African American,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,High school graduate or GED,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,1508,0,0,0,0,0,"Federal exemption, physically or mentally unfit for employment",Not an able-bodied adult without dependents (ABAWD),"Age within the range subject to time limits, but not adult without a disability in childless unit",0,7084 University Ave,Greenville,MI,49409,Gabriella,Roberts,,,,,,,,,,,,,,,,,,,,,,,,,,
110,12,23,Not entitled to expedited service,0,0,813,Uses higher standard based on LIHEAA assistance,Not prorated,0,200,477,No adjustment,0,Simplified reporting (exceeding 130% of income poverty guidelines),1,0,1482,0,0,921,0,1,11,37,1,281,23,0,0,477,193,670,624,Head of unit is a citizen,No children,0,0.1999999285,1121,1133,1473,QuickServe Sandwiches,287 Center Rd,Flint,48509,0,0,0,0,0,0,0,0,0,1482,0,0,0,0,0,0,0,0,0,0,0,0,0,1482,1482,0,131,0,812,37,0,Not in SSI-CAP,290,0,0,0,477,670,0,4250,1,1,1,244,1,0,1,0,0,53,Female,White,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,High school graduate or GED,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,1482,0,0,0,0,0,"Federal exemption, physically or mentally unfit for employment",Not an able-bodied adult without dependents (ABAWD),Not in universe (AGEI not within the age range subject to time limits),0,1423 Lakeside Way,Pontiac,MI,48216,Reagan,Torres,,,,,,,,,,,,,,,,,,,,,,,,,,
111,12,177,Not entitled to expedited service,0,0,217,No utilities and no LIHEAA assistance,Not prorated,0,250,0,No adjustment,0,Simplified reporting (exceeding 130% of income poverty guidelines),1,0,631,126,0,0,1,0,3,215,1,281,23,0,126,94,193,413,624,Head of unit is a citizen,No children,0,0.1999999285,250,1133,1473,UrbanMarket Express,398 Corunna Rd,Flint,48510,0,0,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631,0,631,0,56,1,218,215,0,Not in SSI-CAP,287,189,0,0,94,413,0,2750,1,1,1,95,1,0,0,0,0,26,Male,Not recorded on application,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,NA,Not participating in E&T,Employed by other,20â€“29 hours/week,631,0,0,0,0,0,0,0,0,0,Work registrant,Not an able-bodied adult without dependents (ABAWD),Adult without a disability in childless unit within the age range subject to time limits,1,4605 Harbor Way,Sault Ste. Marie,MI,49048,Landon,Carter,,,,,,,,,,,,,,,,,,,,,,,,,,
113,36,281,Not entitled to expedited service,0,0,0,Uses higher standard and does not receive LIHEAA assistance,Not prorated,0,223,794,No adjustment,0,Other,1,0,894,0,0,921,0,0,24,281,1,281,23,0,0,794,193,987,624,Head of unit is a citizen,No children,0,0.1999999285,1144,1133,1473,QuickBite Burgers,123 Woodward Ave,Detroit,48201,0,0,0,0,0,0,0,0,0,894,0,0,0,0,0,0,0,0,0,0,0,0,0,894,894,0,79,0,0,281,0,Not in SSI-CAP,197,0,0,0,701,894,0,4250,1,1,1,95,1,0,0,1,0,71,Male,Black or African American,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,NA,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,894,0,0,0,0,0,"Federal exemption, other",Not an able-bodied adult without dependents (ABAWD),Not in universe (AGEI not within the age range subject to time limits),0,9887 Spruce Ln,Bad Axe,MI,49677,Cooper,Evans,,,,,,,,,,,,,,,,,,,,,,,,,,
114,36,279,Not entitled to expedited service,0,0,7,Uses higher standard and does not receive LIHEAA assistance,Not prorated,0,382,867,No adjustment,0,Other,1,0,1066,0,0,921,0,0,2,279,1,281,23,0,0,867,193,1060,624,Head of unit is a citizen,No children,0,0.1999999285,1303,1133,1473,Dollar Saver Mart,456 Michigan Ave,Detroit,48202,0,0,0,0,0,0,0,0,0,1066,0,0,0,0,0,0,0,0,0,0,0,0,0,1066,1066,0,94,0,6,279,0,Not in SSI-CAP,290,0,0,0,867,1060,0,4250,1,1,1,95,1,0,0,1,0,66,Male,Black or African American,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,High school graduate or GED,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,1066,0,0,0,0,0,"Federal exemption, other",Not an able-bodied adult without dependents (ABAWD),Not in universe (AGEI not within the age range subject to time limits),0,7148 Adams Ave,Waterford,MI,49792,Elias,Rogers,,,,,,,,,,,,,,,,,,,,,,,,,,
115,12,740,Not entitled to expedited service,0,0,0,Uses higher standard and does not receive LIHEAA assistance,Not prorated,0,0,624,No adjustment,0,Simplified reporting (exceeding 130% of income poverty guidelines),3,0,476,0,0,921,0,0,7,740,3,740,23,2,0,624,193,817,624,Head of unit is a citizen,Child(ren) and one female adult,0,0.1999999285,921,1920,2495,Starbucks,109 Eisenhower Pkwy,Ann Arbor,48113,0,0,0,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,476,0,25,0,0,740,0,Not in SSI-CAP,0,0,0,0,283,476,0,2750,1,1,1,95,1,0,0,0,1,52,Female,Black or African American,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,High school graduate or GED,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,0,0,0,0,0,0,Work registrant,Not an able-bodied adult without dependents (ABAWD),Not in universe (AGEI not within the age range subject to time limits),0,822 Maple Rd,Fraser,MI,48481,Samantha,Stewart,,,,,,,Peter,Stewart,1,Jeremiah,Stewart,11,,,,,,,,,,,,,More than 50% of income from tips,
117,12,488,Entitled to expedited service and received benefits within Federal time frame,0,0,93,Uses higher standard and does not receive LIHEAA assistance,Not prorated,0,800,624,No adjustment,0,Simplified reporting (exceeding 130% of income poverty guidelines),2,0,1125,215,0,921,0,0,5,488,2,516,23,1,215,624,193,1032,624,Head of unit is a citizen,Child(ren) and one female adult,0,0.1999999285,1721,1526,1984,ValueHome Hardware,321 Fulton St,Grand Rapids,49504,0,0,1075,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1075,50,1125,0,74,1,93,488,0,Not in SSI-CAP,193,215,0,0,624,1032,0,2750,1,1,1,95,1,0,0,0,1,47,Female,Respondent reported more than one race and does not fit into above categories (codes 8 through 11),Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,High school graduate or GED,Not participating in E&T,Employed by other,1â€“19 hours/week,1075,0,0,0,0,0,0,0,0,0,"Federal exemption, other",Not an able-bodied adult without dependents (ABAWD),"Age within the range subject to time limits, but not adult without a disability in childless unit",1,7006 Van Buren Ave,Coldwater,MI,48095,Alexis,Moore,,,,,,,Ariana,Moore,1,,,,,,,,,,,,,,,,,
118,36,281,Not entitled to expedited service,0,0,0,Uses higher standard based on LIHEAA assistance,Not prorated,0,230,817,No adjustment,0,Other,1,0,861,0,0,921,0,0,7,281,1,281,23,0,0,817,193,1010,624,Head of unit is a citizen,No children,0,0.1999999285,1151,1133,1473,Speedy Gas & Go,789 Grand River Ave,Detroit,48203,0,0,0,0,0,0,0,0,0,433,0,0,0,0,0,0,428,0,0,0,0,0,0,861,861,0,76,0,0,281,0,Not in SSI-CAP,140,0,0,0,668,861,1,4250,1,1,1,95,1,0,0,1,0,65,Female,White,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,High school graduate or GED,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,433,0,428,0,0,0,"Federal exemption, other",Not an able-bodied adult without dependents (ABAWD),Not in universe (AGEI not within the age range subject to time limits),0,3622 Meadow Pl,Roseville,MI,49343,Anna,Gutierrez,,,,,,,,,,,,,,,,,,,,,,,,,,
119,36,23,Not entitled to expedited service,0,0,1086,Uses higher standard based on LIHEAA assistance,Not prorated,0,475,568,No adjustment,0,Other,1,0,1848,0,0,921,0,0,20,23,1,281,23,0,0,569,193,762,624,Head of unit is a citizen,No children,0,0.1999999285,1396,1133,1473,FreshWay Grocery,135 Jefferson Ave,Detroit,48204,0,0,0,0,0,0,0,0,0,1848,0,0,0,0,0,0,0,0,0,0,0,0,0,1848,1848,0,163,0,1086,23,1,Not in SSI-CAP,290,0,0,0,569,762,0,4250,1,1,1,258,1,0,0,1,0,81,Female,White,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,Grade 11,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,1848,0,0,0,0,0,"Federal exemption, physically or mentally unfit for employment",Not an able-bodied adult without dependents (ABAWD),Not in universe (AGEI not within the age range subject to time limits),0,7530 Parkview Ct,Hamtramck,MI,48340,Eva,Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,
120,12,1116,Not entitled to expedited service,0,0,0,Uses higher standard and does not receive LIHEAA assistance,Not prorated,0,1475,1606,No adjustment,0,Simplified reporting (exceeding 130% of income poverty guidelines),5,0,1804,0,0,921,0,2,1,1116,5,1116,23,4,0,1608,225,1833,624,Head of unit is a citizen,Child(ren) and one female adult,0,0.1999999285,2396,2706,3518,Golden Crust Pizza,102 Washtenaw Ave,Ann Arbor,48104,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,1460,0,0,0,0,0,0,1802,1802,0,67,0,0,1116,0,Not in SSI-CAP,307,0,0,0,1577,1802,0,4250,1,1,1,95,1,0,1,0,1,34,Female,Black or African American,Eligible member of SNAP case under review and entitled to receive benefits,Naturalized citizen,High school graduate or GED,Not participating in E&T,Unemployed and looking for work,Not employed,0,0,0,0,0,0,0,0,0,0,"Federal exemption, care of a child under 6 or an incapacitated person",Not an able-bodied adult without dependents (ABAWD),"Age within the range subject to time limits, but not adult without a disability in childless unit",0,1239 Pine Dr,Fraser,MI,48910,Nevaeh,Nelson,,,,,,,Mason,Nelson,11,Scarlett,Nelson,3,Harold,Nelson,8,Johnny,Nelson,14,,,,,,,,
121,12,392,Not entitled to expedited service,0,0,1158,Uses higher standard based on LIHEAA assistance,Not prorated,0,875,624,No adjustment,0,Simplified reporting (exceeding 130% of income poverty guidelines),2,0,2397,421,0,921,0,0,2,168,2,516,23,1,421,624,193,1238,624,Head of unit is a citizen,Child(ren) and one female adult,0,0.1999999285,1796,1526,1984,Express Oil Change,432 Alpine Ave,Grand Rapids,49505,0,0,2109,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2109,287,2396,0,157,1,1158,168,0,Not in SSI-CAP,193,421,0,0,624,1238,0,2750,1,0,1,348,1,0,0,0,1,48,Female,Black or African American,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,High school graduate or GED,Not participating in E&T,Employed by other,30â€“39 hours/week,2109,0,0,0,0,0,0,0,0,0,Work registrant,Not an able-bodied adult without dependents (ABAWD),"Age within the range subject to time limits, but not adult without a disability in childless unit",1,8937 Cedar Rd,East Lansing,MI,48299,Zoe,Nguyen,,,,,,,Madelyn,Nguyen,2,,,,,,,,,,,,,,,,,
122,12,578,Not entitled to expedited service,0,0,651,"Uses higher standard, LIHEAA assistance status unknown",Not prorated,0,900,624,No adjustment,0,Simplified reporting (exceeding 130% of income poverty guidelines),4,0,1835,367,0,921,0,0,9,544,3,740,23,2,367,624,193,1184,624,Head of unit is a nonparticipating noncitizen,Child(ren) and one male adult,0,0.1999999285,1821,1920,2495,Morning Brew Coffee,210 Monroe St,Grand Rapids,49503,0,0,1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1835,0,1835,0,96,1,651,544,0,Not in SSI-CAP,193,367,0,0,624,1184,0,2750,1,1,1,196,1,0,0,0,1,42,Female,(Hispanic or Latino) and (American Indian or Alaska Native),Member is ineligible noncitizen and not participating in State-funded SNAP,Undocumented noncitizen,NA,Not participating in E&T,Employed by other,30â€“39 hours/week,1835,0,0,0,0,0,0,0,0,0,Work registrant,Not an able-bodied adult without dependents (ABAWD),NA,NA,4391 Lincoln Pl,Sault Ste. Marie,MI,49371,Reagan,Carter,,,,,,,Rose,Carter,2,Adrian,Carter,12,,,,,,,,,,,,,,
123,12,281,Not entitled to expedited service,0,0,0,Uses higher standard based on LIHEAA assistance,Not prorated,0,0,0,No adjustment,0,Simplified reporting (exceeding 130% of income poverty guidelines),1,0,300,0,0,921,1,0,9,281,1,281,23,0,0,624,193,817,624,Head of unit is a citizen,No children,0,0.1999999285,921,1133,1473,Sunrise Diner,246 Mack Ave,Detroit,48205,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,300,0,26,0,0,281,0,Not in SSI-CAP,0,0,0,0,107,300,0,2750,1,1,1,95,1,0,0,0,0,41,Female,Black or African American,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,High school graduate or GED,Not participating in E&T,Unemployed and looking for work,Not employed,0,0,0,0,0,0,0,0,0,0,Work registrant,ABAWD in a waived area,Adult without a disability in childless unit within the age range subject to time limits,0,7092 Lakeside Ln,Marquette,MI,48487,Kylie,Reyes,,,,,,,,,,,,,,,,,,,,,,,,,,
124,36,281,Not entitled to expedited service,0,0,0,Uses higher standard and does not receive LIHEAA assistance,Not prorated,0,102,699,No adjustment,0,Other,1,0,841,0,0,921,0,0,33,281,1,281,23,0,0,699,193,892,624,Head of unit is a citizen,No children,0,0.1999999285,1023,1133,1473,Happy Paws Pet Care,357 Gratiot Ave,Detroit,48206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,841,0,0,0,0,0,0,841,841,0,74,0,0,281,0,Not in SSI-CAP,238,0,0,0,648,841,1,4250,1,1,1,95,1,0,0,1,0,62,Female,Not recorded on application,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,High school graduate or GED,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,0,0,841,0,0,0,"Federal exemption, other",Not an able-bodied adult without dependents (ABAWD),Not in universe (AGEI not within the age range subject to time limits),0,7870 Elm Ave,Westland,MI,48255,Nora,Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
125,36,64,Not entitled to expedited service,0,0,455,Uses higher standard and does not receive LIHEAA assistance,Not prorated,0,550,829,No adjustment,0,Other,1,0,1477,0,0,921,0,1,9,144,1,281,23,0,0,829,193,1022,624,Head of unit is a citizen,No children,0,0.1999999285,1471,1133,1473,ValueWear Apparel,468 Livernois Ave,Detroit,48207,0,0,0,0,0,0,0,0,0,1477,0,0,0,0,0,0,0,0,0,0,0,0,0,1477,1477,0,130,0,455,144,0,Not in SSI-CAP,289,0,0,0,829,1022,0,4250,1,1,1,137,1,0,1,0,0,48,Male,Not recorded on application,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,High school graduate or GED,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,1477,0,0,0,0,0,"Federal exemption, physically or mentally unfit for employment",Not an able-bodied adult without dependents (ABAWD),"Age within the range subject to time limits, but not adult without a disability in childless unit",0,1682 Main Rd,Taylor,MI,49707,Liam,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
126,12,939,Not entitled to expedited service,0,0,0,Uses higher standard based on LIHEAA assistance,Not prorated,0,100,597,No adjustment,0,Simplified reporting (exceeding 130% of income poverty guidelines),4,0,131,26,0,921,0,0,10,939,4,939,23,3,26,624,193,843,624,Head of unit is a citizen,Child(ren) and one female adult,0,0.1999999285,1021,2313,3007,Campus Book Outlet,765 Michigan St,Grand Rapids,49508,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,131,0,6,1,0,939,0,Not in SSI-CAP,0,0,0,0,0,131,0,2750,1,1,1,95,1,0,0,0,1,32,Female,Not recorded on application,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,Grade 10,Not participating in E&T,Employed by other,1â€“19 hours/week,131,0,0,0,0,0,0,0,0,0,"Federal exemption, care of a child under 6 or an incapacitated person",Not an able-bodied adult without dependents (ABAWD),"Age within the range subject to time limits, but not adult without a disability in childless unit",1,4471 Court Rd,Southfield,MI,48955,Ivy,Martinez,,,,,,,Bethany,Martinez,9,Justin,Martinez,10,Mateo,Martinez,6,,,,,,,,,,,
127,36,218,Not entitled to expedited service,0,0,91,Uses higher standard based on LIHEAA assistance,Not prorated,0,316,794,No adjustment,0,Other,1,0,1078,0,0,921,0,0,0,253,1,281,23,0,0,795,193,988,624,Head of unit is a citizen,No children,0,0.1999999285,1237,1133,1473,CleanSweep Janitorial,579 Warren Ave,Detroit,48208,0,0,0,0,0,0,0,0,0,1078,0,0,0,0,0,0,0,0,0,0,0,0,0,1078,1078,0,95,0,90,254,0,Not in SSI-CAP,290,0,0,0,795,988,0,4250,1,1,1,95,1,0,0,1,0,81,Female,Not recorded on application,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,Grade 4,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,1078,0,0,0,0,0,"Federal exemption, other",Not an able-bodied adult without dependents (ABAWD),Not in universe (AGEI not within the age range subject to time limits),0,9708 Aspen Ter,Traverse City,MI,48352,Gabriella,Scott,,,,,,,,,,,,,,,,,,,,,,,,,,
128,36,212,Not entitled to expedited service,0,0,168,Uses higher standard based on LIHEAA assistance,Not prorated,0,336,782,No adjustment,0,Other,1,0,1143,0,0,921,0,0,18,230,1,281,23,0,0,782,193,975,624,Head of unit is a citizen,No children,0,0.1999999285,1257,1133,1473,BudgetStay Motel,680 Eight Mile Rd,Detroit,48209,0,0,0,0,0,0,0,0,189,954,0,0,0,0,0,0,0,0,0,0,0,0,0,1143,1143,0,101,0,168,230,0,Not in SSI-CAP,289,0,0,0,782,975,0,4250,1,1,1,95,1,0,0,1,0,69,Female,Respondent reported more than one race and does not fit into above categories (codes 8 through 11),Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,High school graduate or GED,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,954,0,0,0,0,0,"Federal exemption, other",Not an able-bodied adult without dependents (ABAWD),Not in universe (AGEI not within the age range subject to time limits),0,5893 Park Ct,Romulus,MI,48136,Sophia,Miller,,,,,,,,,,,,,,,,,,,,,,,,,,
129,36,281,Not entitled to expedited service,0,0,0,Uses higher standard based on LIHEAA assistance,Not prorated,0,200,927,No adjustment,0,Other,1,0,581,0,0,921,0,1,2,281,1,281,23,0,0,927,193,1120,624,Head of unit is a citizen,No children,0,0.1999999285,1121,1133,1473,QuickShip Warehouse,791 Conant St,Detroit,48210,0,0,0,0,0,0,0,0,0,547,0,0,0,0,0,0,34,0,0,0,0,0,0,581,581,0,51,0,0,281,0,Not in SSI-CAP,0,0,0,0,388,581,1,4250,1,1,1,95,1,0,1,0,0,38,Male,Black or African American,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,High school graduate or GED,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,547,0,34,0,0,0,"Federal exemption, physically or mentally unfit for employment",Not an able-bodied adult without dependents (ABAWD),"Age within the range subject to time limits, but not adult without a disability in childless unit",0,9937 Kennedy Rd,Wyoming,MI,49864,Luca,Morris,,,,,,,,,,,,,,,,,,,,,,,,,,
130,12,417,Not entitled to expedited service,0,0,2351,Uses higher standard based on LIHEAA assistance,Not prorated,0,455,134,No adjustment,0,Simplified reporting (exceeding 130% of income poverty guidelines),5,0,3387,677,0,921,0,0,1,410,5,1116,23,3,677,133,225,1035,624,Head of unit is a citizen,Child(ren) with other multiple adults,0,0.1999999285,1376,2706,3518,Parkside Movie Theater,657 Plymouth Rd,Ann Arbor,48109,0,0,3388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3388,0,3388,0,125,1,2353,410,0,Not in SSI-CAP,337,810,0,0,133,1035,0,2750,1,1,1,706,1,0,0,0,1,34,Female,Black or African American,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,NA,Not participating in E&T,Employed by other,20â€“29 hours/week,1349,0,0,0,0,0,0,0,0,0,Work registrant,Not an able-bodied adult without dependents (ABAWD),"Age within the range subject to time limits, but not adult without a disability in childless unit",1,9225 Wilson Rd,Fraser,MI,48129,Vivian,Lewis,Bruce,Ortega,23,,,,Josiah,Lewis,16,Peter,Ortega,8,Evan,Ortega,13,,,,,,,,,,,
132,12,939,Not entitled to expedited service,0,0,267,Uses higher standard based on LIHEAA assistance,Not prorated,0,1300,624,No adjustment,0,Simplified reporting (exceeding 130% of income poverty guidelines),4,0,1355,271,0,921,0,0,11,858,4,939,23,3,271,624,193,1088,624,Head of unit is a citizen,Child(ren) and one female adult,0,0.1999999285,2221,2313,3007,Urban Style Salon,876 Wealthy St,Grand Rapids,49509,0,0,1355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1355,0,1355,0,59,1,267,858,0,Not in SSI-CAP,193,271,0,0,624,1088,0,2750,1,1,1,95,1,0,0,0,1,31,Female,Not recorded on application,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,High school graduate or GED,Not participating in E&T,Employed by other,20â€“29 hours/week,1355,0,0,0,0,0,0,0,0,0,"Federal exemption, care of a child under 6 or an incapacitated person",Not an able-bodied adult without dependents (ABAWD),"Age within the range subject to time limits, but not adult without a disability in childless unit",1,2691 Sycamore St,Romulus,MI,48864,Grace,Young,,,,,,,Emily,Young,10,Sebastian,Young,11,Joshua,Young,7,,,,,,,,,,,
134,36,84,Entitled to expedited service and received benefits within Federal time frame,0,0,0,No utilities and no LIHEAA assistance,Not prorated,0,0,0,Prorated benefit,197,Simplified reporting (exceeding 130% of income poverty guidelines),1,0,0,0,0,0,1,0,0,84,1,281,23,0,0,0,193,193,624,Head of unit is a citizen,No children,0,0.1999999285,0,1133,1473,Golden Crust Pizza,102 Washtenaw Ave,Ann Arbor,48104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,Not in SSI-CAP,0,0,0,0,0,0,0,2750,1,1,1,95,1,0,0,0,0,24,Male,Not recorded on application,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,NA,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,0,0,0,0,0,0,Work registrant,Not an able-bodied adult without dependents (ABAWD),Adult without a disability in childless unit within the age range subject to time limits,0,3585 Monroe Pl,East Lansing,MI,48344,Jose,Nelson,,,,,,,,,,,,,,,,,,,,,,,,,,
135,12,190,Not entitled to expedited service,0,0,1832,Uses higher standard and does not receive LIHEAA assistance,Not prorated,0,1498,624,No adjustment,0,Simplified reporting (exceeding 130% of income poverty guidelines),3,0,3311,662,0,921,0,0,4,190,3,740,23,2,662,624,193,1479,624,Head of unit is a citizen,Child(ren) and one female adult,0,0.1999999285,2419,1920,2495,ValueHome Hardware,321 Fulton St,Grand Rapids,49504,0,0,3311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3311,0,3311,0,172,1,1832,190,0,Not in SSI-CAP,193,662,0,0,624,1479,0,2750,1,0,1,550,1,0,0,0,1,29,Female,(Hispanic or Latino) and White,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,"Postsecondary education (for example, technical education or some college)",Not participating in E&T,Employed by other,Full-time (40 hours or more),3311,0,0,0,0,0,0,0,0,0,"Federal exemption, care of a child under 6 or an incapacitated person",Not an able-bodied adult without dependents (ABAWD),"Age within the range subject to time limits, but not adult without a disability in childless unit",1,258 Jefferson Ave,Shelby Township,MI,48469,Luna,Harris,,,,,,,Betty,Harris,3,Paul,Harris,13,,,,,,,,,,,,,,
137,36,285,Not entitled to expedited service,0,0,769,Uses higher standard and does not receive LIHEAA assistance,Not prorated,0,1575,1407,No adjustment,0,Other,2,0,2369,0,0,921,0,0,0,285,2,516,23,1,0,1408,193,1601,624,Head of unit is a citizen,Child(ren) and one female adult,0,0.1999999285,2496,1526,1984,Happy Trails Car Wash,543 Plainfield Ave,Grand Rapids,49506,0,0,0,50,456,0,0,0,220,1643,0,0,0,0,0,0,0,0,0,0,0,1,0,2369,2369,0,155,0,768,285,0,Not in SSI-CAP,289,0,0,0,1408,1601,0,4250,1,1,1,231,1,0,0,1,1,64,Female,Black or African American,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,NA,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,1643,0,0,0,0,0,"Federal exemption, physically or mentally unfit for employment",Not an able-bodied adult without dependents (ABAWD),Not in universe (AGEI not within the age range subject to time limits),0,759 Oak Dr,Muskegon,MI,48079,Alice,Clark,,,,,,,Charles,Clark,3,,,,,,,,,,,,,,,,,
